iter	Passed	Remaining
0	64	12860
1	71	7034
2	77	5088
3	83	4078
4	88	3462
5	93	3035
6	99	2730
7	103	2493
8	108	2312
9	114	2167
10	119	2047
11	124	1952
12	129	1866
13	134	1791
14	139	1725
15	145	1669
16	150	1617
17	155	1572
18	161	1536
19	166	1497
20	171	1460
21	176	1427
22	181	1397
23	187	1375
24	194	1360
25	200	1339
26	206	1321
27	211	1297
28	216	1278
29	222	1259
30	227	1240
31	232	1222
32	237	1201
33	242	1182
34	246	1163
35	251	1145
36	256	1128
37	260	1112
38	265	1096
39	270	1081
40	275	1068
41	279	1053
42	284	1038
43	289	1026
44	293	1012
45	298	1000
46	303	988
47	308	976
48	312	964
49	317	952
50	322	941
51	327	930
52	333	923
53	338	914
54	344	907
55	350	901
56	356	894
57	362	886
58	367	878
59	373	870
60	377	860
61	382	851
62	387	842
63	391	832
64	396	822
65	400	813
66	405	805
67	410	796
68	415	788
69	419	779
70	424	771
71	429	763
72	433	754
73	438	746
74	443	738
75	447	730
76	452	723
77	457	715
78	461	707
79	466	699
80	471	692
81	476	684
82	480	677
83	485	670
84	490	663
85	494	655
86	499	648
87	504	641
88	508	634
89	513	627
90	517	620
91	523	614
92	529	608
93	534	602
94	539	595
95	544	589
96	549	583
97	555	577
98	560	571
99	565	565
100	570	558
101	574	552
102	579	545
103	584	539
104	589	533
105	593	526
106	598	520
107	603	514
108	607	507
109	612	501
110	617	494
111	621	488
112	626	482
113	631	476
114	635	470
115	640	463
116	645	457
117	650	452
118	655	446
119	660	440
120	665	434
121	669	428
122	674	422
123	679	416
124	684	410
125	688	404
126	693	398
127	698	393
128	703	387
129	708	381
130	714	376
131	720	370
132	725	365
133	732	360
134	738	355
135	744	350
136	750	345
137	755	339
138	760	333
139	765	328
140	770	322
141	775	316
142	780	311
143	785	305
144	789	299
145	794	293
146	799	288
147	804	282
148	808	276
149	813	271
150	818	265
151	823	259
152	827	254
153	832	248
154	837	243
155	842	237
156	846	231
157	851	226
158	856	220
159	861	215
160	865	209
161	870	204
162	875	198
163	879	193
164	884	187
165	889	182
166	894	176
167	899	171
168	903	165
169	908	160
170	913	154
171	918	149
172	932	145
173	937	140
174	942	134
175	947	129
176	952	123
177	957	118
178	961	112
179	966	107
180	971	101
181	976	96
182	981	91
183	986	85
184	990	80
185	996	75
186	1002	69
187	1008	64
188	1015	59
189	1030	54
190	1036	48
191	1041	43
192	1046	37
193	1050	32
194	1055	27
195	1060	21
196	1064	16
197	1069	10
198	1074	5
199	1079	0
